resource_id,network,station,channel,location,phase_time,oneset,polarity,evaluation_mode,evaluation_status,phase_type,azimuth,distance,takeoff_angle,time_residual,time_weight,time_correction
quakeml:us.anss.org/pick/600044rh/us_3231_bpid-6000185367,NC,KMR,HHZ,--,2019-06-23T03:53:12.930,,,manual,,Pg,98.7442,0.45851,79.3,1.1,2.38,
quakeml:us.anss.org/pick/600044rh/us_3231_bpid-6000185358,BK,ORV,BHZ,00,2019-06-23T03:53:38.060,,,manual,,Pn,107.54,2.26993,45.9,-2.4,1.1,
quakeml:us.anss.org/pick/600044rh/us_3231_bpid-6000185359,BK,MCCM,BHZ,00,2019-06-23T03:53:39.500,,,manual,,Pn,152.119,2.39495,45.9,-2.6,1.08,
quakeml:us.anss.org/pick/600044rh/us_3231_bpid-6000185364,NC,AFD,HHZ,--,2019-06-23T03:53:47.290,,,manual,,Pn,116.188,2.89459,45.9,-1.7,1.03,
quakeml:us.anss.org/pick/600044rh/us_3231_bpid-6000185361,UO,WOOD,HHZ,--,2019-06-23T03:53:43.110,,,manual,,Pn,37.1098,2.4572,45.9,-0.0,1.08,
quakeml:us.anss.org/pick/600044rh/us_3231_bpid-6000185365,UO,WYLD,HHZ,--,2019-06-23T03:53:49.020,,,manual,,Pn,12.5229,2.94171,45.9,-0.6,1.03,
quakeml:us.anss.org/pick/600044rh/us_3231_bpid-6000185369,NN,BEK,HHZ,--,2019-06-23T03:53:50.740,,,manual,,Pn,96.3829,3.05095,45.9,-0.6,1.01,
quakeml:us.anss.org/pick/600044rh/us_3231_bpid-6000185363,UO,DING,HHZ,--,2019-06-23T03:53:42.600,,,manual,,Pn,4.00608,2.59286,45.9,-2.2,1.06,
quakeml:us.anss.org/pick/600044rh/us_3231_bpid-7000484058,IM,EKA,BHZ,F0,2019-06-23T04:04:28.250,,,manual,,P,30.7971,72.4007,18.2,-0.6,1.09,
quakeml:us.anss.org/pick/600044rh/idc_2173_quakeml:org.ctbto/pick/142810229,IR,LPIG,SHZ,--,2019-06-23T04:01:32.820,,,manual,,S,139.649,19.9631,38.5,14.0,0.0,
quakeml:us.anss.org/pick/600044rh/us_3231_bpid-7000484033,IU,DWPF,BHZ,10,2019-06-23T04:00:14.210,,,manual,,P,95.4754,37.1403,26.3,1.0,0.9,
quakeml:us.anss.org/pick/600044rh/us_3231_bpid-7000484046,IM,SPITS,HHZ,F0,2019-06-23T04:03:05.600,,,manual,,P,8.70804,59.4658,21.1,0.1,1.06,
quakeml:us.anss.org/pick/600044rh/us_3231_bpid-7000484037,IM,ZALV,SHZ,F0,2019-06-23T04:05:27.350,,,manual,,P,343.198,82.8568,15.7,0.1,1.11,
quakeml:us.anss.org/pick/600044rh/us_3231_bpid-7000484027,IM,BMAR,SHZ,F0,2019-06-23T03:59:08.690,,,manual,,P,344.207,29.4205,27.6,2.6,0.83,
quakeml:us.anss.org/pick/600044rh/us_3231_bpid-7000484038,IM,ESDC,BHZ,F0,2019-06-23T04:05:31.820,,,manual,,P,41.9739,83.6158,15.6,0.5,1.09,
quakeml:us.anss.org/pick/600044rh/nc_2173_quakeml:nc.anss.org/arrival/nc/109312899,CE,68586,HNZ,10,2019-06-23T03:53:43.630,,,manual,,Pn,142.135,2.63557,45.9,-1.8,0.0,
quakeml:us.anss.org/pick/600044rh/nc_2173_quakeml:nc.anss.org/arrival/nc/109312869,NC,NTO,EHZ,--,2019-06-23T03:53:42.170,,,manual,,Pn,145.354,2.56719,45.9,-2.3,0.0,
quakeml:us.anss.org/pick/600044rh/nc_2173_quakeml:nc.anss.org/arrival/nc/109312859,NP,1762,HNZ,10,2019-06-23T03:53:42.820,,,manual,,Pn,147.632,2.55711,45.9,-1.5,0.0,
quakeml:us.anss.org/pick/600044rh/nc_2173_quakeml:nc.anss.org/arrival/nc/109312819,NC,NHV,EHZ,--,2019-06-23T03:53:40.060,,,manual,,Pn,149.144,2.44005,45.9,-2.7,0.0,
